,BELGIUM,sys_par_name,sys_reserved,sys_first_sys,BE_2005,BE_2006,BE_2007,BE_2008,BE_2009,sys_end_sys,
,,sys_first_par,,,BEN: child benefit,,,,,
,,func_DefConst,3a,,on,on,on,on,on,
,,const1_name,4a,,$CB_BaseAmtEmpCh1,$CB_BaseAmtEmpCh1,$CB_BaseAmtEmpCh1,$CB_BaseAmtEmpCh1,$CB_BaseAmtEmpCh1,
,,const1_amount,5a,,75.54#m,77.05#m,78.59#m,81.71#m,83.40#m,
,,const2_name,6a,,$CB_BaseAmtEmpCh2,$CB_BaseAmtEmpCh2,$CB_BaseAmtEmpCh2,$CB_BaseAmtEmpCh2,$CB_BaseAmtEmpCh2,
,,const2_amount,7a,,139.78#m,142.58#m,145.43#m,151.30#m,154.33#m,
,,const3_name,8a,,$CB_BaseAmtEmpCh3,$CB_BaseAmtEmpCh3,$CB_BaseAmtEmpCh3,$CB_BaseAmtEmpCh3,$CB_BaseAmtEmpCh3,
,,const3_amount,9a,,208.70#m,212.87#m,217.13#m,225.90#m,230.42#m,
,,const4_name,10a,,$CB_BaseAmtSelfCh1,$CB_BaseAmtSelfCh1,$CB_BaseAmtSelfCh1,$CB_BaseAmtSelfCh1,$CB_BaseAmtSelfCh1,
,,const4_amount,11a,,38.42#m,39.19#m,60.00#m,72.61#m,78.00#m,
,,const5_name,12a,,$CB_BaseAmtSelfCh2,$CB_BaseAmtSelfCh2,$CB_BaseAmtSelfCh2,$CB_BaseAmtSelfCh2,$CB_BaseAmtSelfCh2,
,,const5_amount,13a,,139.78#m,142.58#m,145.43#m,151.30#m,154.33#m,
,,const6_name,14a,,$CB_BaseAmtSelfCh3,$CB_BaseAmtSelfCh3,$CB_BaseAmtSelfCh3,$CB_BaseAmtSelfCh3,$CB_BaseAmtSelfCh3,
,,const6_amount,15a,,208.70#m,212.87#m,217.13#m,225.90#m,230.42#m,
,,const7_name,16a,,$CB_SuppCh1Age6to11,$CB_SuppCh1Age6to11,$CB_SuppCh1Age6to11,$CB_SuppCh1Age6to11,$CB_SuppCh1Age6to11,
,,const7_amount,17a,,13.16#m,13.42#m,13.69#m,14.25#m,14.53#m,
,,const8_name,18a,,$CB_SuppCh1Age12to17a,$CB_SuppCh1Age12to17a,$CB_SuppCh1Age12to17a,$CB_SuppCh1Age12to17a,$CB_SuppCh1Age12to17a,
,,const8_amount,19a,,20.04#m,20.44#m,20.85#m,21.69#m,22.12#m,
,,const9_name,20a,,$CB_SuppCh1Age12to17b,$CB_SuppCh1Age12to17b,$CB_SuppCh1Age12to17b,$CB_SuppCh1Age12to17b,$CB_SuppCh1Age12to17b,
,,const9_amount,21a,,26.24#m,26.77#m,27.30#m,0#m,0#m,
,,const10_name,22a,,$CB_SuppCh1Age18to25a,$CB_SuppCh1Age18to25a,$CB_SuppCh1Age18to25a,$CB_SuppCh1Age18to25a,$CB_SuppCh1Age18to25a,
,,const10_amount,23a,,0#m,0#m,0#m,0#m,25.5#m,
,,const11_name,24a,,$CB_SuppCh1Age18to25b,$CB_SuppCh1Age18to25b,$CB_SuppCh1Age18to25b,$CB_SuppCh1Age18to25b,$CB_SuppCh1Age18to25b,
,,const11_amount,25a,,28.19#m,28.75#m,29.33#m,30.51#m,31.12#m,
,,const12_name,26a,,$CB_SuppCh1Age18to25c,$CB_SuppCh1Age18to25c,$CB_SuppCh1Age18to25c,$CB_SuppCh1Age18to25c,$CB_SuppCh1Age18to25c,
,,const12_amount,27a,,42.04#m,42.89#m,43.74#m,45.51#m,46.42#m,
,,const13_name,28a,,$CB_SuppCh2Age6to11,$CB_SuppCh2Age6to11,$CB_SuppCh2Age6to11,$CB_SuppCh2Age6to11,$CB_SuppCh2Age6to11,
,,const13_amount,29a,,26.24#m,26.77#m,27.30#m,28.41#m,28.98#m,
,,const14_name,30a,,$CB_SuppCh2Age12to17,$CB_SuppCh2Age12to17,$CB_SuppCh2Age12to17,$CB_SuppCh2Age12to17,$CB_SuppCh2Age12to17,
,,const14_amount,31a,,40.10#m,40.90#m,41.72#m,43.41#m,44.27#m,
,,const15_name,32a,,$CB_SuppCh2Age18to25,$CB_SuppCh2Age18to25,$CB_SuppCh2Age18to25,$CB_SuppCh2Age18to25,$CB_SuppCh2Age18to25,
,,const15_amount,33a,,50.99#m,52.01#m,53.05#m,55.19#m,56.29#m,
,,const16_name,34a,,$CB_SocSuppMTLP,$CB_SocSuppMTLP,$CB_SocSuppMTLP,$CB_SocSuppMTLP,$CB_SocSuppMTLP,
,,const16_amount,35a,,1672.38#m,1705.86#m,1740.15#m,1774.98#m,2060.91#m,
,,const17_name,36a,,$CB_SocSuppMTHH,$CB_SocSuppMTHH,$CB_SocSuppMTHH,$CB_SocSuppMTHH,$CB_SocSuppMTHH,
,,const17_amount,37a,,1930.21#m,1968.85#m,2008.39#m,2048.60#m,2131.19#m,
,,const18_name,38a,,$CB_SocSuppCh1,$CB_SocSuppCh1,$CB_SocSuppCh1,$CB_SocSuppCh1,$CB_SocSuppCh1,
,,const18_amount,39a,,39.44#m,39.23#m,40.01#m,41.63#m,42.46#m,
,,const19_name,40a,,$CB_SocSuppCh2,$CB_SocSuppCh2,$CB_SocSuppCh2,$CB_SocSuppCh2,$CB_SocSuppCh2,
,,const19_amount,41a,,23.84#m,24.31#m,24.80#m,25.80#m,26.32#m,
,,const20_name,42a,,$CB_SocSuppCh3,$CB_SocSuppCh3,$CB_SocSuppCh3,$CB_SocSuppCh3,$CB_SocSuppCh3,
,,const20_amount,43a,,4.18#m,4.27#m,4.35#m,4.53#m,4.62#m,
,,const21_name,44a,,$CB_SocSuppDisab,$CB_SocSuppDisab,$CB_SocSuppDisab,$CB_SocSuppDisab,$CB_SocSuppDisab,
,,const21_amount,45a,,44.28#m,45.17#m,46.87#m,47.93#m,48.89#m,
,,const22_name,46a,,$CB_SchoolAge0to5,$CB_SchoolAge0to5,$CB_SchoolAge0to5,$CB_SchoolAge0to5,$CB_SchoolAge0to5,
,,const22_amount,47a,,0#m,0#m,0#m,0#m,2.13#m,
,,const23_name,48a,,$CB_SchoolAge6to11,$CB_SchoolAge6to11,$CB_SchoolAge6to11,$CB_SchoolAge6to11,$CB_SchoolAge6to11,
,,const23_amount,49a,,0#m,4.17#m,4.25#m,4.42#m,4.51#m,
,,const24_name,50a,,$CB_SchoolAge12to17,$CB_SchoolAge12to17,$CB_SchoolAge12to17,$CB_SchoolAge12to17,$CB_SchoolAge12to17,
,,const24_amount,51a,,0#m,5.83#m,5.95#m,6.19#m,6.31#m,
,,const25_name,52a,,$CB_SchoolAge18to25,$CB_SchoolAge18to25,$CB_SchoolAge18to25,$CB_SchoolAge18to25,$CB_SchoolAge18to25,
,,const25_amount,53a,,0#m,0#m,0#m,2.08#m,4.17#m,
,,const26_name,54a,,$CB_GenSuppLP,$CB_GenSuppLP,$CB_GenSuppLP,$CB_GenSuppLP,$CB_GenSuppLP,
,,const26_amount,55a,,0#m,0#m,20.00#m,20.40#m,16.60#m,
,,func_Elig,3,,on,on,on,on,on,
,,elig_cond,4,,({yse=0} | {yem>0}) & {IsHead}#1,({yse=0} | {yem>0}) & {IsHead}#1,({yse=0} | {yem>0}) & {IsHead}#1,({yse=0} | {yem>0}) & {IsHead}#1,({yse=0} | {yem>0}) & {IsHead}#1,
,,#1_level,5,,tu_cb_be,tu_cb_be,tu_cb_be,tu_cb_be,tu_cb_be,
,,TAX_UNIT,6,,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,
,,func_BenCalc,7,,on,on,on,on,on,
,,who_must_be_elig,8,,one,one,one,one,one,
,,comp1_cond,9,,{IsNtoMchild}#1,{IsNtoMchild}#1,{IsNtoMchild}#1,{IsNtoMchild}#1,{IsNtoMchild}#1,
,,#1_N,10,,1,1,1,1,1,
,,#1_M,11,,1,1,1,1,1,
,,comp1_perElig,12,,$CB_BaseAmtEmpCh1,$CB_BaseAmtEmpCh1,$CB_BaseAmtEmpCh1,$CB_BaseAmtEmpCh1,$CB_BaseAmtEmpCh1,
,,comp2_cond,13,,{IsNtoMchild}#2,{IsNtoMchild}#2,{IsNtoMchild}#2,{IsNtoMchild}#2,{IsNtoMchild}#2,
,,#2_N,14,,2,2,2,2,2,
,,#2_M,15,,2,2,2,2,2,
,,comp2_perElig,16,,$CB_BaseAmtEmpCh2,$CB_BaseAmtEmpCh2,$CB_BaseAmtEmpCh2,$CB_BaseAmtEmpCh2,$CB_BaseAmtEmpCh2,
,,comp3_cond,17,,{IsNtoMchild}#3,{IsNtoMchild}#3,{IsNtoMchild}#3,{IsNtoMchild}#3,{IsNtoMchild}#3,
,,#3_N,18,,3,3,3,3,3,
,,#3_M,19,,99,99,99,99,99,
,,comp3_perElig,20,,$CB_BaseAmtEmpCh3,$CB_BaseAmtEmpCh3,$CB_BaseAmtEmpCh3,$CB_BaseAmtEmpCh3,$CB_BaseAmtEmpCh3,
,,output_var,21,,bch_s,bch_s,bch_s,bch_s,bch_s,
,,TAX_UNIT,22,,tu_cb_be,tu_cb_be,tu_cb_be,tu_cb_be,tu_cb_be,
,,func_Elig,23,,on,on,on,on,on,
,,elig_cond,24,,({yse>0} & {yem<=0}) & {IsHead}#1,({yse>0} & {yem<=0}) & {IsHead}#1,({yse>0} & {yem<=0}) & {IsHead}#1,({yse>0} & {yem<=0}) & {IsHead}#1,({yse>0} & {yem<=0}) & {IsHead}#1,
,,#1_level,25,,tu_cb_be,tu_cb_be,tu_cb_be,tu_cb_be,tu_cb_be,
,,TAX_UNIT,26,,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,tu_individual_be,
,,func_BenCalc,27,,on,on,on,on,on,
,,who_must_be_elig,28,,one,one,one,one,one,
,,comp1_cond,29,,{IsNtoMchild}#1,{IsNtoMchild}#1,{IsNtoMchild}#1,{IsNtoMchild}#1,{IsNtoMchild}#1,
,,#1_N,30,,1,1,1,1,1,
,,#1_M,31,,1,1,1,1,1,
