,BELGIUM,sys_par_name,sys_reserved,sys_first_sys,BE_2005,BE_2006,BE_2007,BE_2008,BE_2009,sys_end_sys,
,,sys_first_par,,,DEF: DATASETS AND GENERAL SETTINGS (CONTROL),,,,,
,,func_GeneralSettings,,,,,,,,
,,country,,,be,be,be,be,be,
,,currency_output,,,euro,euro,euro,euro,euro,
,,currency_param,,,euro,euro,euro,euro,euro,
,,exch_rate_euro_to_nat,,,40.3399,40.3399,40.3399,40.3399,40.3399,
,,headdefinc,,,ils_origrepy,ils_origrepy,ils_origrepy,ils_origrepy,ils_origrepy,
,,private,,,no,no,no,no,no,
,,func_Dataset,,,BE_2006_a3,BE_2006_a3,BE_2006_a3,BE_2006_a3,BE_2006_a3,
,,datayear_col,,,2006,2006,2006,2006,2006,
,,datayear_inc,,,2005,2005,2005,2005,2005,
,,currency_db,,,euro,euro,euro,euro,euro,
,,baseline,,,yes,yes,yes,yes,yes,
,,use_default,,,BE_2006_defaults,BE_2006_defaults,BE_2006_defaults,BE_2006_defaults,BE_2006_defaults,
,,decsign_data,,,.,.,.,.,.,
,,uprate,,,upr_be_2005,upr_be_2005,upr_be_2005,upr_be_2005,upr_be_2005,
,,private,,,no,no,no,no,no,
,,func_Dataset,,,hypodata_be,hypodata_be,hypodata_be,hypodata_be,hypodata_be,
,,use_default,,,yes,yes,yes,yes,yes,
,,currency_db,,,euro,euro,euro,euro,euro,
,,baseline,,,no,no,no,no,no,
,,headdefinc,,,ils_origrepy,ils_origrepy,ils_origrepy,ils_origrepy,ils_origrepy,
,,decsign_data,,,.,.,.,.,.,
,,private,,,no,no,no,no,no,
,,func_Dataset,,,off,BE_2007_a3,BE_2007_a3,BE_2007_a3,BE_2007_a3,
,,datayear_col,,,n/a,2007,2007,2007,2007,
,,datayear_inc,,,n/a,2006,2006,2006,2006,
,,currency_db,,,n/a,euro,euro,euro,euro,
,,baseline,,,n/a,yes,yes,yes,yes,
,,use_default,,,n/a,no,no,no,no,
,,decsign_data,,,n/a,.,.,.,.,
,,uprate,,,n/a,upr_be_2006,upr_be_2006,upr_be_2006,upr_be_2006,
,,private,,,n/a,no,no,no,no,
,,func_Dataset,35,,off,BE_2007_b2,BE_2007_b2,BE_2007_b2,BE_2007_b2,
,,datayear_col,36,,n/a,2007,2007,2007,2007,
,,datayear_inc,37,,n/a,2006,2006,2006,2006,
,,currency_db,38,,n/a,euro,euro,euro,euro,
,,baseline,39,,n/a,yes,yes,yes,yes,
,,use_default,40,,n/a,no,no,no,no,
,,decsign_data,41,,n/a,.,.,.,.,
,,uprate,42,,n/a,upr_be_2006,upr_be_2006,upr_be_2006,upr_be_2006,
,,private,43,,n/a,yes,yes,yes,yes,
,,func_Dataset,44,,off,off,off,off,BE_2008_b3,
,,datayear_col,45,,n/a,n/a,n/a,n/a,2008,
,,datayear_inc,46,,n/a,n/a,n/a,n/a,2007,
,,currency_db,47,,n/a,n/a,n/a,n/a,euro,
,,baseline,48,,n/a,n/a,n/a,n/a,yes,
,,decsign_data,49,,n/a,n/a,n/a,n/a,.,
,,use_default,50,,n/a,n/a,n/a,n/a,no,
,,uprate,51,,n/a,n/a,n/a,n/a,upr_be_2007,
,,private,52,,n/a,n/a,n/a,n/a,no,
,,sys_end_par,,,,,,,,
